Unnamed: 0,ESAS GİDER YERİ,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,Eylül,2022-10-01 00:00:00,Genel Toplam,ORTALAMA,X,"SATIŞ PAY 
ORANI",Unnamed: 16
,PERSONEL MAAŞ & GİDERLERİ,332311.0800000001,432625.19999999995,496491.47000000003,486670.56,531531.7300000001,570202.5,763522.3899999999,853200.7600000001,899871.4,933934.8000000002,6300361.89,630036.189,,4.88764155738381,
,YEMEK GİDERLERİ,21567.24,28697.59,33869.94,30482.26,36180.63,44228.41,44650.95,58557.759999999995,61807.979999999996,83399.2,443441.96,44344.196,,0.3440096600520401,
,KIDEM İHBAR TAZMİNATLARI,0.0,13699.13,29936.58,3263.8,0.0,11199.130000000001,0,124298.2,0,0.0,182396.84,18239.684,,0.14149828068360143,
,TAŞERON PERSONEL GİDERLERİ,0.0,0.0,0.0,0,0.0,0,35275.94,117742.79,145799.87,120841.01,419659.61,41965.960999999996,,0.3255599893471329,
,İŞÇİ SAĞLIĞI VE GÜVENLİĞİ GİDERLERİ,780.0,4485.0,12560.0,0,1380.99,19060,2640,5405,4740,27735.0,78785.99,7878.599,,0.06111993018604607,
,YURT İÇİ İŞ SEYAHAT GİDERLERİ,2131.57,2789.37,4192.54,3347.76,2768.8,3260.04,3207.9700000000003,2505.58,1739.25,4892.990000000001,30835.870000000006,3083.5870000000004,,0.023921590902468735,
,EĞİTİM GİDERLERİ,0.0,575.0,0.0,0,0.0,0,0,0,2050.32,0.0,2625.32,262.53200000000004,,0.002036648585821292,
,PERSONEL GİDERİ,356789.8900000001,482871.29,577050.53,523764.38,571862.1500000001,647950.0800000001,849297.2499999998,1161710.09,1116008.82,1170803.0,7458107.48,745810.7480000001,X,5.78578765714092,TOPLAMI
,AKARYAKIT GİDERLERİ,9845.449999999999,12526.67,22318.759999999995,30461.57,27125.46,55902.61,36210.66,55581.94145423728,47813.56,57655.99,355442.67145423725,35544.26714542373,X,0.2757423149017318,
,MAKİNE BAKIM GİDERLERİ,3224.0,20531.05,13005.59,99597.76000000001,21492.0,144813.07,7412.129999999999,60236.11,69502.45999999999,60451.07,500265.24000000005,50026.524000000005,,0.3880915444904048,
